Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Socket,C124408
J3,PinHeader_1x02_P2.54mm_Vertical,1,START,
J4,PinHeader_1x02_P2.54mm_Vertical,1,PAUSE,
J5,PinHeader_1x02_P2.54mm_Vertical,1,RESET,
J6,PinHeader_1x02_P2.54mm_Vertical,1,TIME_SEL,
J7,PinHeader_1x02_P2.54mm_Vertical,1,BUZZER,
J8,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,1,Conn_01x06_Pin,
SW1,SW_PUSH-12mm,1,START,C5377619
SW2,SW_PUSH-12mm,1,PAUSE,C5377619
SW3,SW_PUSH-12mm,1,RESET,C5377619
SW4,SW_PUSH-12mm,1,TIME_SEL,C5377619
SW5,SW_PUSH-12mm,1,BUZZER,C5377619
